metric,baseline,attention,difference_attention_minus_baseline,winner
rmse,55.74965842103878,56.17666443420368,0.42700601316489895,baseline
mae,24.18060302734375,18.905563354492188,-5.2750396728515625,attention
r2,0.9703366160392761,0.9698007106781006,-0.0005359053611755371,baseline
day_rmse,77.76647421427019,79.44920866699995,1.6827344527297612,baseline
day_mae,40.12760543823242,37.29154586791992,-2.8360595703125,attention
peak_rmse,53.661348130690165,60.031998303508935,6.37065017281877,baseline
peak_mae,29.732561111450195,27.153594970703125,-2.5789661407470703,attention
pred_min,2.9356462955474854,0.0,-2.9356462955474854,attention
pred_max,1023.9703979492188,1053.775146484375,29.80474853515625,baseline
true_min,0.0,0.0,0.0,n/a
true_max,1064.0,1064.0,0.0,n/a
